date,portfolio,benchmark
2017-12-07,21858.690922289148,13576.792310512106
2017-12-08,22076.226865342178,13642.782189917278
2017-12-11,22078.367145611985,13674.672041185955
2017-12-12,22133.51190112726,13741.274154916751
2017-12-13,22389.059498592458,13786.487495579371
2017-12-14,22253.941058076412,13743.438332067795
2017-12-15,22440.283705012003,13823.67169520237
2017-12-18,22788.82258804066,13902.435257862913
2017-12-19,22885.580890649173,13881.435291924607
2017-12-20,23055.11730457698,13865.678198467092
2017-12-21,22957.959247730814,13896.878053984172
2017-12-22,22957.24873390498,13881.048675257442
2017-12-26,22906.014993535453,13876.646940454792
2017-12-27,22971.897085849872,13892.398557755547
2017-12-28,23071.441943993974,13927.843529991978
2017-12-29,22937.595850146048,13861.511938405065
2018-01-02,23098.822013061857,13920.27329088874
2018-01-03,23031.277188188786,13975.603283547402
2018-01-04,23054.426419194595,14061.09156670764
2018-01-05,23484.036943064,14184.87242361884
2018-01-08,23459.995894178603,14177.65594424221
2018-01-09,23511.343120555128,14235.302351209808
2018-01-10,23357.536526676733,14225.95455162269
2018-01-11,23621.30250579357,14341.246270326536
2018-01-12,23930.01175521581,14469.356576771173
2018-01-16,23865.971490769516,14463.563898151808
2018-01-17,24497.572399144752,14644.57168842289
2018-01-18,24510.76305229646,14589.707169088717
2018-01-19,24512.143871862634,14619.937744859504
2018-01-22,24741.10698416925,14700.058299164853
2018-01-23,24799.617906524356,14697.933550342472
2018-01-24,24702.4486306644,14721.097693431822
2018-01-25,24807.55108052698,14799.97954107835
2018-01-26,25518.238370782874,14925.54562509289
2018-01-29,25423.801104136008,14826.162141773098
2018-01-30,24923.279475493277,14622.836822247567
2018-01-31,25316.93558643901,14663.491810024236
2018-02-01,25184.149303773644,14684.419490693326
2018-02-02,24572.032900577327,14311.094551213073
2018-02-05,23594.47076030226,13652.085085018976
2018-02-06,24102.64110454792,13970.04607966866
2018-02-07,24169.4763659404,13959.15619433829
2018-02-08,23008.424116986524,13379.955141514294
2018-02-09,23641.278228610252,13565.2518577588
2018-02-12,24013.69902057835,13795.369821842001
2018-02-13,23991.93379889496,13817.34016275795
2018-02-14,24480.399047994324,13959.235050995616
2018-02-15,24780.424906948218,14131.319991444054
2018-02-16,24801.832826903206,14141.98097342191
2018-02-20,24780.463696727817,13999.19456686393
2018-02-21,24652.93472140703,13905.564333834838
2018-02-22,24583.49290388905,13997.921908033204
2018-02-23,25116.88036868721,14192.790946291936
2018-02-26,25616.020409142664,14416.690186759946
2018-02-27,25478.116569581554,14248.88869612817
2018-02-28,25113.355650234003,14035.335011008718
2018-03-01,24897.85526287241,13799.69379521868
2018-03-02,24840.759881271922,13759.92484960557
2018-03-05,25141.85082864757,13948.731782332407
2018-03-06,25200.786905959354,13953.980130969956
2018-03-07,25038.853522878144,13907.571892902584
2018-03-08,25082.860874567246,13960.199949816499
2018-03-09,25641.79303330006,14207.230476433306
2018-03-12,25405.65450630252,14119.118018954294
2018-03-13,25111.631488172767,14022.903039935092
2018-03-14,24969.034791414848,13883.324566006364
2018-03-15,24955.473753655642,13948.115167081376
2018-03-16,24982.97721744046,13988.966201270008
2018-03-19,24713.451708249846,13800.7758837942
2018-03-20,24767.94543901246,13866.025386805593
2018-03-21,24882.475508468735,13840.81425631984
2018-03-22,24313.284512663995,13434.589662264605
2018-03-23,23966.99649300606,13196.440366679077
2018-03-26,24580.580124589313,13571.812293555737
2018-03-27,24325.492867404857,13378.413055771041
2018-03-28,24183.973287983034,13373.203040230805
2018-03-29,24567.239558990914,13516.02230372934
2018-04-02,24043.98353628096,13258.67907870453
2018-04-03,24336.289222962092,13476.909401695922
2018-04-04,24755.17364638493,13606.411747188622
2018-04-05,24832.987335280246,13741.509629657376
2018-04-06,24291.091720946904,13420.497320461738
2018-04-09,24692.284656403986,13446.482779513171
2018-04-10,25032.55875227093,13686.992298661704
2018-04-11,24832.470423209117,13564.438100864456
2018-04-12,25037.902176131898,13729.07765858375
2018-04-13,24933.979477189503,13660.154749618614
2018-04-16,25136.728724155866,13779.53934788392
2018-04-17,25356.056388244753,13899.312753279097
2018-04-18,25248.8302740216,13877.689600701648
2018-04-19,25127.032389696502,13831.045887893652
