date,gross_return,turnover,cost,net_return
2015-08-03,-0.003727785173238276,0.0,0.0,-0.003727785173238276
2015-08-04,0.0086318203780205,0.0,0.0,0.0086318203780205
2015-08-05,-0.020080467168280554,0.0,0.0,-0.020080467168280554
2015-08-06,0.0031915390695512,0.0,0.0,0.0031915390695512
2015-08-07,0.00510643752706604,0.0,0.0,0.00510643752706604
2015-08-10,-0.006688949427167185,0.0,0.0,-0.006688949427167185
2015-08-11,-0.003971605270290257,0.0,0.0,-0.003971605270290257
2015-08-12,0.0006840076746318929,0.0,0.0,0.0006840076746318929
2015-08-13,0.005867557500226931,0.0,0.0,0.005867557500226931
2015-08-14,0.010546489434038301,0.0,0.0,0.010546489434038301
2015-08-17,-0.0018896870510547923,0.0,0.0,-0.0018896870510547923
2015-08-18,-0.008647188399466588,0.0,0.0,-0.008647188399466588
2015-08-19,-0.02863813746542861,0.0,0.0,-0.02863813746542861
2015-08-20,-0.025411256062324014,0.0,0.0,-0.025411256062324014
2015-08-21,-0.04972128944861327,0.0,0.0,-0.04972128944861327
2015-08-24,-0.009134784065277585,0.0,0.0,-0.009134784065277585
2015-08-25,0.0492771283244981,0.0,0.0,0.0492771283244981
2015-08-26,0.02451927506574297,0.0,0.0,0.02451927506574297
2015-08-27,-0.0011209828178607311,0.0,0.0,-0.0011209828178607311
2015-08-28,-0.012757142123808235,0.0,0.0,-0.012757142123808235
2015-08-31,-0.03511648299093832,1.3236845905919454,0.001985526885887918,-0.03710200987682624
2015-09-01,0.03140522313807295,0.0,0.0,0.03140522313807295
2015-09-02,-0.005427489939788451,0.0,0.0,-0.005427489939788451
2015-09-03,-0.01448614095719107,0.0,0.0,-0.01448614095719107
2015-09-04,0.03830482845604914,0.0,0.0,0.03830482845604914
2015-09-08,-0.020939869505438503,0.0,0.0,-0.020939869505438503
2015-09-09,0.011326737678209478,0.0,0.0,0.011326737678209478
2015-09-10,0.008432641765042107,0.0,0.0,0.008432641765042107
2015-09-11,-0.004755255571577484,0.0,0.0,-0.004755255571577484
2015-09-14,0.011071939205732424,0.0,0.0,0.011071939205732424
2015-09-15,0.0033917739546430853,0.0,0.0,0.0033917739546430853
2015-09-16,0.0005852000084951873,0.0,0.0,0.0005852000084951873
2015-09-17,-0.013790331910691952,0.0,0.0,-0.013790331910691952
2015-09-18,0.005121610325756951,0.0,0.0,0.005121610325756951
2015-09-21,-0.008698435131639351,0.0,0.0,-0.008698435131639351
2015-09-22,0.0003160660722270244,0.0,0.0,0.0003160660722270244
2015-09-23,-0.004070253074518514,0.0,0.0,-0.004070253074518514
2015-09-24,-0.005365720487524748,0.0,0.0,-0.005365720487524748
2015-09-25,-0.02843455348557397,0.0,0.0,-0.02843455348557397
2015-09-28,-0.0028938029069635546,0.0,0.0,-0.0028938029069635546
2015-09-29,0.021249059675399883,0.0,0.0,0.021249059675399883
2015-09-30,0.010115814110114361,1.2288280072997055,0.0018432420109495582,0.008272572099164804
2015-10-01,0.017344849529800886,0.0,0.0,0.017344849529800886
2015-10-02,0.019007452356199744,0.0,0.0,0.019007452356199744
2015-10-05,-0.004648300312296321,0.0,0.0,-0.004648300312296321
2015-10-06,-0.0007020861455111131,0.0,0.0,-0.0007020861455111131
2015-10-07,0.011239368364646094,0.0,0.0,0.011239368364646094
2015-10-08,0.0031985268180654497,0.0,0.0,0.0031985268180654497
2015-10-09,0.006777718952674785,0.0,0.0,0.006777718952674785
2015-10-12,0.0019301387345582893,0.0,0.0,0.0019301387345582893
2015-10-13,-0.0050197490258535715,0.0,0.0,-0.0050197490258535715
2015-10-14,0.008227127631175338,0.0,0.0,0.008227127631175338
2015-10-15,0.0035307647716937996,0.0,0.0,0.0035307647716937996
2015-10-16,0.0027482228360660417,0.0,0.0,0.0027482228360660417
2015-10-19,0.0009247617715564248,0.0,0.0,0.0009247617715564248
2015-10-20,-0.01208106815959623,0.0,0.0,-0.01208106815959623
2015-10-21,0.005493068671046737,0.0,0.0,0.005493068671046737
2015-10-22,0.026969330882866294,0.0,0.0,0.026969330882866294
2015-10-23,0.006244996529125498,0.0,0.0,0.006244996529125498
2015-10-26,-0.002184139533048768,0.0,0.0,-0.002184139533048768
2015-10-27,0.009013948222261656,0.0,0.0,0.009013948222261656
2015-10-28,-0.0036190258014859623,0.0,0.0,-0.0036190258014859623
2015-10-29,-0.004332781705633305,0.0,0.0,-0.004332781705633305
2015-10-30,0.011515734995565846,0.0,0.0,0.011515734995565846
2015-11-02,0.0018017726539781083,0.0,0.0,0.0018017726539781083
2015-11-03,-0.007126464931420343,0.0,0.0,-0.007126464931420343
2015-11-04,0.004927549131356342,0.0,0.0,0.004927549131356342
2015-11-05,-0.00011239992623976675,0.0,0.0,-0.00011239992623976675
2015-11-06,-0.013972576890371395,0.0,0.0,-0.013972576890371395
2015-11-09,0.0014656597502647915,0.0,0.0,0.0014656597502647915
2015-11-10,-0.006236721366246712,0.0,0.0,-0.006236721366246712
2015-11-11,-0.016961862342046143,0.0,0.0,-0.016961862342046143
2015-11-12,-0.014230400441966572,0.0,0.0,-0.014230400441966572
2015-11-13,0.014567636997885335,0.0,0.0,0.014567636997885335
2015-11-16,-0.0026322821961067087,0.0,0.0,-0.0026322821961067087
2015-11-17,0.016810508818540328,0.0,0.0,0.016810508818540328
2015-11-18,-0.004681204507396861,0.0,0.0,-0.004681204507396861
2015-11-19,0.02023228337765856,0.0,0.0,0.02023228337765856
2015-11-20,-0.0026120926487389782,0.0,0.0,-0.0026120926487389782
2015-11-23,0.002463337446131683,0.0,0.0,0.002463337446131683
2015-11-24,0.0028751631822829813,0.0,0.0,0.0028751631822829813
2015-11-25,-0.0007063375833101404,0.0,0.0,-0.0007063375833101404
2015-11-27,-0.0008810243302207299,0.0,0.0,-0.0008810243302207299
2015-11-30,0.015661793139378405,0.43336336280798504,0.0006500450442119775,0.015011748095166427
2015-12-01,0.0002586284550789436,0.0,0.0,0.0002586284550789436
2015-12-02,-0.02279896987006317,0.0,0.0,-0.02279896987006317
2015-12-03,0.030078040042562565,0.0,0.0,0.030078040042562565
2015-12-04,-0.011422787564813054,0.0,0.0,-0.011422787564813054
2015-12-07,0.0022863140178667417,0.0,0.0,0.0022863140178667417
2015-12-08,-0.013996190869765354,0.0,0.0,-0.013996190869765354
2015-12-09,0.003999737435712317,0.0,0.0,0.003999737435712317
2015-12-10,-0.02034761499775321,0.0,0.0,-0.02034761499775321
2015-12-11,0.010160004254950686,0.0,0.0,0.010160004254950686
2015-12-14,0.010755956056374832,0.0,0.0,0.010755956056374832
2015-12-15,0.01548265190551976,0.0,0.0,0.01548265190551976
2015-12-16,-0.006720429374611463,0.0,0.0,-0.006720429374611463
2015-12-17,-0.02084761538248245,0.0,0.0,-0.02084761538248245
2015-12-18,0.00866959903962331,0.0,0.0,0.00866959903962331
2015-12-21,0.010189017471325348,0.0,0.0,0.010189017471325348
2015-12-22,2.6598886480651545e-05,0.0,0.0,2.6598886480651545e-05
2015-12-23,-0.004452248616079244,0.0,0.0,-0.004452248616079244
2015-12-24,0.0019644772205932616,0.0,0.0,0.0019644772205932616
2015-12-28,0.012545053029322226,0.0,0.0,0.012545053029322226
2015-12-29,-0.007628459615007818,0.0,0.0,-0.007628459615007818
2015-12-30,-0.010595548216169507,0.0,0.0,-0.010595548216169507
2015-12-31,-0.013073341721797638,2.0,0.003,-0.016073341721797637
2016-01-04,-0.00150070505021753,0.0,0.0,-0.00150070505021753
2016-01-05,-0.01261551925113288,0.0,0.0,-0.01261551925113288
2016-01-06,-0.02702035581154398,0.0,0.0,-0.02702035581154398
2016-01-07,-0.007451413417196921,0.0,0.0,-0.007451413417196921
2016-01-08,0.004583965517154871,0.0,0.0,0.004583965517154871
2016-01-11,0.01239670761341601,0.0,0.0,0.01239670761341601
2016-01-12,-0.02164576452861591,0.0,0.0,-0.02164576452861591
2016-01-13,0.006805755000248518,0.0,0.0,0.006805755000248518
2016-01-14,-0.027169816308137584,0.0,0.0,-0.027169816308137584
2016-01-15,0.0031291302884072494,0.0,0.0,0.0031291302884072494
2016-01-19,-0.01523681967548867,0.0,0.0,-0.01523681967548867
2016-01-20,0.007526392068751757,0.0,0.0,0.007526392068751757
2016-01-21,0.014117196413169372,0.0,0.0,0.014117196413169372
2016-01-22,-0.01243167908970398,0.0,0.0,-0.01243167908970398
2016-01-25,0.007963184869144336,0.0,0.0,0.007963184869144336
2016-01-26,-0.0036787760848598573,0.0,0.0,-0.0036787760848598573
2016-01-27,0.013990627479464317,0.0,0.0,0.013990627479464317
2016-01-28,0.02254893916228573,0.0,0.0,0.02254893916228573
2016-01-29,0.0015101194622586147,0.0,0.0,0.0015101194622586147
2016-02-01,-0.017855762649563726,0.0,0.0,-0.017855762649563726
2016-02-02,0.0054751913446583565,0.0,0.0,0.0054751913446583565
2016-02-03,0.00399985021173152,0.0,0.0,0.00399985021173152
2016-02-04,-0.015450396506284866,0.0,0.0,-0.015450396506284866
2016-02-05,-0.013257282125803151,0.0,0.0,-0.013257282125803151
2016-02-08,0.00683546236614556,0.0,0.0,0.00683546236614556
2016-02-09,-0.011349381183837938,0.0,0.0,-0.011349381183837938
2016-02-10,-0.00847615650159997,0.0,0.0,-0.00847615650159997
2016-02-11,0.024259220439122972,0.0,0.0,0.024259220439122972
2016-02-12,0.012333175121954103,0.0,0.0,0.012333175121954103
2016-02-16,0.016337477800675522,0.0,0.0,0.016337477800675522
2016-02-17,-0.004819864190388001,0.0,0.0,-0.004819864190388001
2016-02-18,-0.0034230475079873824,0.0,0.0,-0.0034230475079873824
2016-02-19,0.013613681507059456,0.0,0.0,0.013613681507059456
2016-02-22,-0.007883713714666795,0.0,0.0,-0.007883713714666795
2016-02-23,0.00695835063403678,0.0,0.0,0.00695835063403678
2016-02-24,0.009069735074214368,0.0,0.0,0.009069735074214368
2016-02-25,-0.006366433843416551,0.0,0.0,-0.006366433843416551
2016-02-26,-0.005176455791370416,0.0,0.0,-0.005176455791370416
2016-02-29,0.02892890120592747,2.0,0.003,0.02592890120592747
2016-03-01,0.001495627232811821,0.0,0.0,0.001495627232811821
2016-03-02,0.007732736083160123,0.0,0.0,0.007732736083160123
2016-03-03,0.009145093293742456,0.0,0.0,0.009145093293742456
2016-03-04,-1.1907551470832561e-05,0.0,0.0,-1.1907551470832561e-05
2016-03-07,-0.007499315878550128,0.0,0.0,-0.007499315878550128
2016-03-08,-0.0002472453160535849,0.0,0.0,-0.0002472453160535849
2016-03-09,-4.107482898025694e-05,0.0,0.0,-4.107482898025694e-05
2016-03-10,0.01375361046348371,0.0,0.0,0.01375361046348371
2016-03-11,0.0042372706578455,0.0,0.0,0.0042372706578455
2016-03-14,0.0004510877327293338,0.0,0.0,0.0004510877327293338
2016-03-15,0.006743945024314517,0.0,0.0,0.006743945024314517
2016-03-16,0.009062538777477331,0.0,0.0,0.009062538777477331
2016-03-17,0.015575400435489464,0.0,0.0,0.015575400435489464
2016-03-18,0.00020248552738057798,0.0,0.0,0.00020248552738057798
2016-03-21,-0.003063319215940271,0.0,0.0,-0.003063319215940271
2016-03-22,-0.006708361903342037,0.0,0.0,-0.006708361903342037
2016-03-23,-0.0028343143412084834,0.0,0.0,-0.0028343143412084834
2016-03-24,-0.002806200604682585,0.0,0.0,-0.002806200604682585
2016-03-28,0.008388784847791398,0.0,0.0,0.008388784847791398
2016-03-29,0.005380935295414576,0.0,0.0,0.005380935295414576
2016-03-30,0.00016788140948977405,0.0,0.0,0.00016788140948977405
2016-03-31,0.0067809713059447645,0.3881773522680852,0.0005822660284021278,0.006198705277542637
2016-04-01,-0.0036020217414277455,0.0,0.0,-0.0036020217414277455
2016-04-04,-0.008844997035534905,0.0,0.0,-0.008844997035534905
2016-04-05,0.004791770045738509,0.0,0.0,0.004791770045738509
2016-04-06,-0.020656717164674234,0.0,0.0,-0.020656717164674234
2016-04-07,0.0049863980572363645,0.0,0.0,0.0049863980572363645
2016-04-08,0.005906552056506519,0.0,0.0,0.005906552056506519
2016-04-11,0.014461679401760921,0.0,0.0,0.014461679401760921
2016-04-12,0.025931626610964584,0.0,0.0,0.025931626610964584
2016-04-13,0.004709345325823462,0.0,0.0,0.004709345325823462
2016-04-14,-0.010391068523856408,0.0,0.0,-0.010391068523856408
2016-04-15,-0.00013537098338163404,0.0,0.0,-0.00013537098338163404
2016-04-18,0.010899756211271584,0.0,0.0,0.010899756211271584
2016-04-19,0.010372780186107489,0.0,0.0,0.010372780186107489
2016-04-20,-0.004180455234561542,0.0,0.0,-0.004180455234561542
2016-04-21,0.003705930877835419,0.0,0.0,0.003705930877835419
2016-04-22,-0.005487619502691891,0.0,0.0,-0.005487619502691891
2016-04-25,0.005460452515472291,0.0,0.0,0.005460452515472291
2016-04-26,-0.00635168961584026,0.0,0.0,-0.00635168961584026
2016-04-27,-0.015593692862183659,0.0,0.0,-0.015593692862183659
2016-04-28,-0.0052110143663617325,0.0,0.0,-0.0052110143663617325
2016-04-29,0.0038222723880576414,0.0,0.0,0.0038222723880576414
2016-05-02,-0.008514634705567306,0.0,0.0,-0.008514634705567306
